Sample	MorpV	Sanger	Phylum	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Genus	Species	Feeding.Group	cp.value	SSU.nema.data	SSU.nema.qual	Sample.Type	Experiment	Sample.Control	Sample.Site	Habitat	QubitConc	Latitude	Longitude	Elevation	pH	N	P	K	OM	OC	Sand	Silt	Clay	BD	Soil.Type	Description		
SK.4.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.04	Riparian	13.6000	33.602817	-117.027633	1411	7.37	36.87	18.10	553.00	4.65	2.70	75.42	18.30	6.28	0.98	Not.Compact.Soil	SK.4.2.Baerm.Riparian1		
SK.4.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.04	Riparian	15.3000	33.602817	-117.027633	1411	7.37	36.87	18.10	553.00	4.65	2.70	75.42	18.30	6.28	0.98	Not.Compact.Soil	SK.4.3.Baerm.Riparian1		
SK.5.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.05	Riparian	14.1000	33.602967	-117.027617	1433	7.32	15.22	21.20	211.00	1.99	1.16	88.00	9.00	3.00	1.21	Not.Compact.Soil	SK.5.1.Baerm.Riparian2		
SK.5.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.05	Riparian	6.0600	33.602967	-117.027617	1433	7.32	15.22	21.20	211.00	1.99	1.16	88.00	9.00	3.00	1.21	Not.Compact.Soil	SK.5.2.Baerm.Riparian2		
SK.5.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.05	Riparian	12.7000	33.602967	-117.027617	1433	7.32	15.22	21.20	211.00	1.99	1.16	88.00	9.00	3.00	1.21	Not.Compact.Soil	SK.5.3.Baerm.Riparian2		
SK.6.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.06	Riparian	7.0400	33.602917	-117.027583	1454	7.59	11.97	30.00	370.00	3.79	2.20	75.00	19.00	6.00	1.01	Not.Compact.Soil	SK.6.1.Baerm.Riparian3		
SK.6.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.06	Riparian	4.8600	33.602917	-117.027583	1454	7.59	11.97	30.00	370.00	3.79	2.20	75.00	19.00	6.00	1.01	Not.Compact.Soil	SK.6.2.Baerm.Riparian3		
SK.6.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.06	Riparian	10.8000	33.602917	-117.027583	1454	7.59	11.97	30.00	370.00	3.79	2.20	75.00	19.00	6.00	1.01	Not.Compact.Soil	SK.6.3.Baerm.Riparian3		
SK.7.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.07	Hollyleaf.cherry	0.1740	33.612283	-117.044317	1644	7.14	13.22	31.40	343.00	4.46	2.58	74.00	19.00	7.00	1.00	Not.Compact.Soil	SK.7.1.Baerm.Hollyleaf.cherry1		
SK.7.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.07	Hollyleaf.cherry	0.7300	33.612283	-117.044317	1644	7.14	13.22	31.40	343.00	4.46	2.58	74.00	19.00	7.00	1.00	Not.Compact.Soil	SK.7.2.Baerm.Hollyleaf.cherry1		
SK.7.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.07	Hollyleaf.cherry	0.2180	33.612283	-117.044317	1644	7.14	13.22	31.40	343.00	4.46	2.58	74.00	19.00	7.00	1.00	Not.Compact.Soil	SK.7.3.Baerm.Hollyleaf.cherry1		
SK.8.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.08	Hollyleaf.cherry	0.3060	33.612167	-117.0442	1651	7.10	17.52	60.40	673.00	4.32	2.50	75.00	18.00	7.00	1.09	Not.Compact.Soil	SK.8.1.Baerm.Hollyleaf.cherry2		
SK.8.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.08	Hollyleaf.cherry	0.4020	33.612167	-117.0442	1651	7.10	17.52	60.40	673.00	4.32	2.50	75.00	18.00	7.00	1.09	Not.Compact.Soil	SK.8.2.Baerm.Hollyleaf.cherry2		
SK.8.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.08	Hollyleaf.cherry	0.6080	33.612167	-117.0442	1651	7.10	17.52	60.40	673.00	4.32	2.50	75.00	18.00	7.00	1.09	Not.Compact.Soil	SK.8.3.Baerm.Hollyleaf.cherry2		
SK.9.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.09	Hollyleaf.cherry	3.0200	33.6119	-117.0441	1655	7.03	25.34	26.80	301.00	3.89	2.26	77.50	14.20	8.30	1.11	Not.Compact.Soil	SK.9.1.Baerm.Hollyleaf.cherry3		
SK.9.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.09	Hollyleaf.cherry	1.9200	33.6119	-117.0441	1655	7.03	25.34	26.80	301.00	3.89	2.26	77.50	14.20	8.30	1.11	Not.Compact.Soil	SK.9.2.Baerm.Hollyleaf.cherry3		
SK.9.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.09	Hollyleaf.cherry	1.1700	33.6119	-117.0441	1655	7.03	25.34	26.80	301.00	3.89	2.26	77.50	14.20	8.30	1.11	Not.Compact.Soil	SK.9.3.Baerm.Hollyleaf.cherry3		
SK.10.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.10	Oak.wood	1.1700	33.6225	-117.019817	1837	6.77	11.29	43.10	479.00	3.72	2.16	75.34	16.30	8.36	1.10	Not.Compact.Soil	SK.10.1.Baerm.Oak.wood1		
SK.10.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.10	Oak.wood	0.3700	33.6225	-117.019817	1837	6.77	11.29	43.10	479.00	3.72	2.16	75.34	16.30	8.36	1.10	Not.Compact.Soil	SK.10.2.Baerm.Oak.wood1		
SK.10.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.10	Oak.wood	1.2400	33.6225	-117.019817	1837	6.77	11.29	43.10	479.00	3.72	2.16	75.34	16.30	8.36	1.10	Not.Compact.Soil	SK.10.3.Baerm.Oak.wood1		
SK.11.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.11	Oak.wood	14.7000	33.62265	-117.019933	1831	7.24	14.12	29.20	280.00	6.39	3.70	66.00	26.00	8.00	1.00	Not.Compact.Soil	SK.11.1.Baerm.Oak.wood2		
SK.11.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.11	Oak.wood	7.1400	33.62265	-117.019933	1831	7.24	14.12	29.20	280.00	6.39	3.70	66.00	26.00	8.00	1.00	Not.Compact.Soil	SK.11.2.Baerm.Oak.wood2		
SK.11.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.11	Oak.wood	1.1700	33.62265	-117.019933	1831	7.24	14.12	29.20	280.00	6.39	3.70	66.00	26.00	8.00	1.00	Not.Compact.Soil	SK.11.3.Baerm.Oak.wood2		
SK.12.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.12	Oak.wood	12.7000	33.62275	-117.020033	1830	6.65	20.77	35.80	429.00	4.35	2.52	73.00	19.00	8.00	1.16	Not.Compact.Soil	SK.12.1.Baerm.Oak.wood3		
SK.12.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.12	Oak.wood	7.2400	33.62275	-117.020033	1830	6.65	20.77	35.80	429.00	4.35	2.52	73.00	19.00	8.00	1.16	Not.Compact.Soil	SK.12.2.Baerm.Oak.wood3		
SK.12.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.12	Oak.wood	0.4820	33.62275	-117.020033	1830	6.65	20.77	35.80	429.00	4.35	2.52	73.00	19.00	8.00	1.16	Not.Compact.Soil	SK.12.3.Baerm.Oak.wood3		
SK.13.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.13	Native.grass	0.9520	33.622183	-117.019	1832	6.16	16.61	6.00	251.00	1.62	0.94	67.34	22.30	10.36	1.33	Compact.Soil	SK.13.1.Baerm.Native.grass1		
SK.13.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.13	Native.grass	0.5520	33.622183	-117.019	1832	6.16	16.61	6.00	251.00	1.62	0.94	67.34	22.30	10.36	1.33	Compact.Soil	SK.13.2.Baerm.Native.grass1		
SK.13.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.13	Native.grass	0.0001	33.622183	-117.019	1832	6.16	16.61	6.00	251.00	1.62	0.94	67.34	22.30	10.36	1.33	Compact.Soil	SK.13.3.Baerm.Native.grass1		
SK.14.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.14	Native.grass	3.2800	33.6222	-117.019233	1838	6.19	8.42	4.70	204.00	1.09	0.63	75.00	19.00	6.00	1.24	Compact.Soil	SK.14.1.Baerm.Native.grass2		
SK.14.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.14	Native.grass	1.2900	33.6222	-117.019233	1838	6.19	8.42	4.70	204.00	1.09	0.63	75.00	19.00	6.00	1.24	Compact.Soil	SK.14.2.Baerm.Native.grass2		
SK.14.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.14	Native.grass	0.3140	33.6222	-117.019233	1838	6.19	8.42	4.70	204.00	1.09	0.63	75.00	19.00	6.00	1.24	Compact.Soil	SK.14.3.Baerm.Native.grass2		
SK.15.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.15	Native.grass	0.8300	33.622317	-117.01915	1838	6.70	5.17	13.00	114.00	1.59	0.92	69.00	19.00	12.00	1.27	Compact.Soil	SK.15.1.Baerm.Native.grass3		
SK.15.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.15	Native.grass	0.6300	33.622317	-117.01915	1838	6.70	5.17	13.00	114.00	1.59	0.92	69.00	19.00	12.00	1.27	Compact.Soil	SK.15.2.Baerm.Native.grass3		
SK.15.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.15	Native.grass	0.4240	33.622317	-117.01915	1838	6.70	5.17	13.00	114.00	1.59	0.92	69.00	19.00	12.00	1.27	Compact.Soil	SK.15.3.Baerm.Native.grass3		
SK.16.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.16	Chaparral	1.6700	33.620883	-117.0186	1840	7.01	5.72	16.20	236.00	3.58	2.08	64.00	22.00	14.00	1.20	Compact.Soil	SK.16.1.Baerm.Chaparral1		
SK.16.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.16	Chaparral	1.3200	33.620883	-117.0186	1840	7.01	5.72	16.20	236.00	3.58	2.08	64.00	22.00	14.00	1.20	Compact.Soil	SK.16.2.Baerm.Chaparral1		
SK.16.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.16	Chaparral	0.5120	33.620883	-117.0186	1840	7.01	5.72	16.20	236.00	3.58	2.08	64.00	22.00	14.00	1.20	Compact.Soil	SK.16.3.Baerm.Chaparral1		
SK.17.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.17	Chaparral	1.4400	33.621083	-117.0185	1841	6.71	14.76	18.70	321.00	3.98	2.31	63.34	24.30	12.36	1.20	Compact.Soil	SK.17.1.Baerm.Chaparral2		
SK.17.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.17	Chaparral	0.4480	33.621083	-117.0185	1841	6.71	14.76	18.70	321.00	3.98	2.31	63.34	24.30	12.36	1.20	Compact.Soil	SK.17.2.Baerm.Chaparral2		
SK.17.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.17	Chaparral	0.2580	33.621083	-117.0185	1841	6.71	14.76	18.70	321.00	3.98	2.31	63.34	24.30	12.36	1.20	Compact.Soil	SK.17.3.Baerm.Chaparral2		
SK.18.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.18	Chaparral	0.3440	33.62105	-117.0184	1848	6.28	3.31	4.00	125.00	2.06	1.19	71.00	20.00	9.00	1.32	Compact.Soil	SK.18.1.Baerm.Chaparral3		
SK.18.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.18	Chaparral	0.2120	33.62105	-117.0184	1848	6.28	3.31	4.00	125.00	2.06	1.19	71.00	20.00	9.00	1.32	Compact.Soil	SK.18.2.Baerm.Chaparral3		
SK.18.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.18	Chaparral	0.3760	33.62105	-117.0184	1848	6.28	3.31	4.00	125.00	2.06	1.19	71.00	20.00	9.00	1.32	Compact.Soil	SK.18.3.Baerm.Chaparral3		
C2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	BaermannBlank	Environment	Control.Sample	no.data	Baerm.Blank	0.7060	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	C2.Baerm.Blank		
NegCtrlBaerm.1	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	BaermannNegCtrl	Environment	Control.Sample	no.data	BaermannNegCtrl	0.0001	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	NegCtrl1.Baerm		
B1a.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	BaermannWaterBlank	Environment	Control.Sample	no.data	Baerm.Blank	0.4620	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	B1a.Baerm.Blank		
B1b.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	BaermannWaterBlank	Environment	Control.Sample	no.data	Baerm.Blank	0.5260	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	B1b.Baerm.Blank		
B2a.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	BaermannWaterBlank	Environment	Control.Sample	no.data	Baerm.Blank	0.4980	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	B2a.Baerm.Blank		
B3a.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	BaermannWaterBlank	Environment	Control.Sample	no.data	Baerm.Blank	0.0001	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	B3a.Baerm.Blank		
C1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	BaermannWaterBlank	Environment	Control.Sample	no.data	Baerm.Blank	1.3600	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	C1.Baerm.Blank		
ZymoMockBaerm.1	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	BaermannZymoMock	Environment	True.Sample	no.data	BaermannZymoMock	5.2200	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	ZymoMock1.Baerm		
SK.1.1.Soil	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Soil	Environment	True.Sample	SK.01	Coastal.scrub	1.4100	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	SK.1.1.Soil.Coastal.scrub1		
SK.1.2.Soil	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Soil	Environment	True.Sample	SK.01	Coastal.scrub	0.6680	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	SK.1.2.Soil.Coastal.scrub1		
SK.1.3.Soil	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Soil	Environment	True.Sample	SK.01	Coastal.scrub	3.6800	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	SK.1.3.Soil.Coastal.scrub1		
SK.2.1.Soil	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Soil	Environment	True.Sample	SK.02	Coastal.scrub	19.2000	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	SK.2.1.Soil.Coastal.scrub2		
SK.2.2.Soil	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Soil	Environment	True.Sample	SK.02	Coastal.scrub	16.1000	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	SK.2.2.Soil.Coastal.scrub2		
SK.2.3.Soil	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Soil	Environment	True.Sample	SK.02	Coastal.scrub	14.0000	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	SK.2.3.Soil.Coastal.scrub2		
SK.3.1.Soil	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Soil	Environment	True.Sample	SK.03	Coastal.scrub	13.2000	33.602033	-117.026583	1367	6.19	5.27	7.50	94.00	2.12	1.23	67.00	19.00	14.00	1.40	Compact.Soil	SK.3.1.Soil.Coastal.scrub3		
